algorithm,group,config,wP,wE,wB,population,mutationRate,seed,bestFitness,generationsRun,meanRank,workloadVariance,pctUnallocated,runtimeMs
ga,weights,pure-balance,0,0,1,100,0.02,18,0.9106933616720357,188,2.19,7.234375,0,483
ga,weights,pure-balance,0,0,1,100,0.02,19,0.9175489106073238,270,2.03,6.234375,0,700
ga,weights,pure-balance,0,0,1,100,0.02,20,0.9122874135404808,207,2.166,6.046875,0,542
ga,weights,pure-balance,0,0,1,100,0.02,21,0.9043965936346988,112,1.968,6.859375,0,301
ga,weights,pure-balance,0,0,1,100,0.02,22,0.8937934303891844,236,2.108,8.296875,0,607
ga,weights,pure-balance,0,0,1,100,0.02,23,0.9001639809147444,234,2.056,7.109375,0,610
ga,weights,pure-balance,0,0,1,100,0.02,24,0.9062376694614875,255,2.184,8.796875,0,664
ga,weights,pure-balance,0,0,1,100,0.02,25,0.8912782331057096,120,2.276,6.671875,0,327
ga,weights,pure-balance,0,0,1,100,0.02,26,0.8913155816053856,179,2.024,8.859375,0,490
ga,weights,pure-balance,0,0,1,100,0.02,27,0.8960915035309464,166,2.192,7.671875,0,442
ga,weights,pure-balance,0,0,1,100,0.02,28,0.8922303042911803,96,2.555110220440882,7.9912109375,0.2,261
ga,weights,pure-balance,0,0,1,100,0.02,29,0.9005654803854476,125,2.33,7.109375,0,338
ga,weights,pure-balance,0,0,1,100,0.02,30,0.9048065577994586,286,2.136,6.859375,0,730
ga,weights,equal-weights,0.3333333333333333,0.3333333333333333,0.3333333333333333,100,0.02,1,0.7648473027871454,100,1.652,7.234375,0,258
ga,weights,equal-weights,0.3333333333333333,0.3333333333333333,0.3333333333333333,100,0.02,2,0.7626857359564942,119,1.636,7.734375,0,314
ga,weights,equal-weights,0.3333333333333333,0.3333333333333333,0.3333333333333333,100,0.02,3,0.7646959792049199,220,1.61,8.484375,0,551
ga,weights,equal-weights,0.3333333333333333,0.3333333333333333,0.3333333333333333,100,0.02,4,0.7595301604221485,104,1.666,8.296875,0,278
ga,weights,equal-weights,0.3333333333333333,0.3333333333333333,0.3333333333333333,100,0.02,5,0.7656456715957283,176,1.678,6.109375,0,458
ga,weights,equal-weights,0.3333333333333333,0.3333333333333333,0.3333333333333333,100,0.02,6,0.7610453200544346,105,1.622,5.359375,0,278
ga,weights,equal-weights,0.3333333333333333,0.3333333333333333,0.3333333333333333,100,0.02,7,0.7607181829183519,133,1.658,4.984375,0,343
ga,weights,equal-weights,0.3333333333333333,0.3333333333333333,0.3333333333333333,100,0.02,8,0.7642989094983894,142,1.644,6.671875,0,372
ga,weights,equal-weights,0.3333333333333333,0.3333333333333333,0.3333333333333333,100,0.02,9,0.76435659344453,192,1.684,6.796875,0,488
ga,weights,equal-weights,0.3333333333333333,0.3333333333333333,0.3333333333333333,100,0.02,10,0.7612142329893623,176,1.73,6.921875,0,460
ga,weights,equal-weights,0.3333333333333333,0.3333333333333333,0.3333333333333333,100,0.02,11,0.762133496832796,101,1.622,8.234375,0,264
ga,weights,equal-weights,0.3333333333333333,0.3333333333333333,0.3333333333333333,100,0.02,12,0.7679968876218317,173,1.688,6.859375,0,441
ga,weights,equal-weights,0.3333333333333333,0.3333333333333333,0.3333333333333333,100,0.02,13,0.7657133107949687,160,1.638,6.171875,0,421
ga,weights,equal-weights,0.3333333333333333,0.3333333333333333,0.3333333333333333,100,0.02,14,0.7671512324151677,159,1.578,5.984375,0,410
ga,weights,equal-weights,0.3333333333333333,0.3333333333333333,0.3333333333333333,100,0.02,15,0.7635426960385513,128,1.65,7.984375,0,336
ga,weights,equal-weights,0.3333333333333333,0.3333333333333333,0.3333333333333333,100,0.02,16,0.7643033712012066,210,1.688,7.296875,0,542
ga,weights,equal-weights,0.3333333333333333,0.3333333333333333,0.3333333333333333,100,0.02,17,0.7642372845464913,137,1.64,7.171875,0,361
ga,weights,equal-weights,0.3333333333333333,0.3333333333333333,0.3333333333333333,100,0.02,18,0.7594924483961946,87,1.616,9.484375,0,229
ga,weights,equal-weights,0.3333333333333333,0.3333333333333333,0.3333333333333333,100,0.02,19,0.7703796155978508,269,1.724,8.109375,0,715
ga,weights,equal-weights,0.3333333333333333,0.3333333333333333,0.3333333333333333,100,0.02,20,0.7634244401574078,134,1.68,7.546875,0,407
ga,weights,equal-weights,0.3333333333333333,0.3333333333333333,0.3333333333333333,100,0.02,21,0.7632629916785312,188,1.628,7.546875,0,502
ga,weights,equal-weights,0.3333333333333333,0.3333333333333333,0.3333333333333333,100,0.02,22,0.7697484759903883,122,1.652,7.234375,0,338
ga,weights,equal-weights,0.3333333333333333,0.3333333333333333,0.3333333333333333,100,0.02,23,0.7599312929248345,102,1.65,7.296875,0,283
ga,weights,equal-weights,0.3333333333333333,0.3333333333333333,0.3333333333333333,100,0.02,24,0.7634747331699869,98,1.632,7.734375,0,281
ga,weights,equal-weights,0.3333333333333333,0.3333333333333333,0.3333333333333333,100,0.02,25,0.7624998295242917,89,1.588,8.421875,0,277
ga,weights,equal-weights,0.3333333333333333,0.3333333333333333,0.3333333333333333,100,0.02,26,0.7654536553981346,175,1.718,7.296875,0,540
ga,weights,equal-weights,0.3333333333333333,0.3333333333333333,0.3333333333333333,100,0.02,27,0.7698974709940971,151,1.606,7.109375,0,413
ga,weights,equal-weights,0.3333333333333333,0.3333333333333333,0.3333333333333333,100,0.02,28,0.7631865748830795,261,1.696,7.859375,0,680
ga,weights,equal-weights,0.3333333333333333,0.3333333333333333,0.3333333333333333,100,0.02,29,0.7721243216331164,268,1.674,6.921875,0,681
ga,weights,equal-weights,0.3333333333333333,0.3333333333333333,0.3333333333333333,100,0.02,30,0.7562109891599351,104,1.658,7.796875,0,286
ga,population,population-50,0.5,0.3,0.2,50,0.02,1,0.7833426939497719,119,1.404,7.234375,0,148
ga,population,population-50,0.5,0.3,0.2,50,0.02,2,0.7755802360493556,142,1.478,7.546875,0,172
ga,population,population-50,0.5,0.3,0.2,50,0.02,3,0.7836351357138539,251,1.432,6.046875,0,288
ga,population,population-50,0.5,0.3,0.2,50,0.02,4,0.7808486515012705,160,1.432,7.421875,0,193
ga,population,population-50,0.5,0.3,0.2,50,0.02,5,0.7758486385074769,117,1.456,7.984375,0,142
ga,population,population-50,0.5,0.3,0.2,50,0.02,6,0.7806217150161322,110,1.388,7.671875,0,137
ga,population,population-50,0.5,0.3,0.2,50,0.02,7,0.777721747069961,99,1.394,7.796875,0,124
ga,population,population-50,0.5,0.3,0.2,50,0.02,8,0.7830569245330423,141,1.398,9.359375,0,177
ga,population,population-50,0.5,0.3,0.2,50,0.02,9,0.7816720114495064,170,1.396,7.546875,0,193
ga,population,population-50,0.5,0.3,0.2,50,0.02,10,0.779584266368573,97,1.432,7.046875,0,112
ga,population,population-50,0.5,0.3,0.2,50,0.02,11,0.7836138778648495,227,1.374,8.359375,0,262
ga,population,population-50,0.5,0.3,0.2,50,0.02,12,0.7769790798727122,76,1.384,6.171875,0,99
ga,population,population-50,0.5,0.3,0.2,50,0.02,13,0.7760297900925553,92,1.404,8.359375,0,118
ga,population,population-50,0.5,0.3,0.2,50,0.02,14,0.7759305627008413,111,1.402,7.546875,0,134
ga,population,population-50,0.5,0.3,0.2,50,0.02,15,0.7821031901197258,127,1.392,6.421875,0,152
ga,population,population-50,0.5,0.3,0.2,50,0.02,16,0.7810511366316591,138,1.404,5.921875,0,158
ga,population,population-50,0.5,0.3,0.2,50,0.02,17,0.7827570289974679,102,1.416,7.671875,0,117
ga,population,population-50,0.5,0.3,0.2,50,0.02,18,0.7792949042082972,195,1.468,8.171875,0,214
ga,population,population-50,0.5,0.3,0.2,50,0.02,19,0.779311485242501,107,1.396,7.484375,0,153
ga,population,population-50,0.5,0.3,0.2,50,0.02,20,0.779595779365982,148,1.428,6.671875,0,178
ga,population,population-50,0.5,0.3,0.2,50,0.02,21,0.780452841754183,117,1.434,6.421875,0,144
ga,population,population-50,0.5,0.3,0.2,50,0.02,22,0.7736889965284248,99,1.384,6.921875,0,126
ga,population,population-50,0.5,0.3,0.2,50,0.02,23,0.782733535103312,215,1.456,7.171875,0,254
ga,population,population-50,0.5,0.3,0.2,50,0.02,24,0.7835004891409396,105,1.442,7.859375,0,137
ga,population,population-50,0.5,0.3,0.2,50,0.02,25,0.7813769695064597,143,1.408,6.671875,0,172
ga,population,population-50,0.5,0.3,0.2,50,0.02,26,0.782338157061623,175,1.414,6.609375,0,205
ga,population,population-50,0.5,0.3,0.2,50,0.02,27,0.7773801351936984,97,1.442,6.484375,0,118
ga,population,population-50,0.5,0.3,0.2,50,0.02,28,0.7811040642461979,138,1.396,8.109375,0,154
ga,population,population-50,0.5,0.3,0.2,50,0.02,29,0.7798821844058436,172,1.4,5.921875,0,198
ga,population,population-50,0.5,0.3,0.2,50,0.02,30,0.7804828187227703,209,1.43,7.671875,0,244
ga,population,population-200,0.5,0.3,0.2,200,0.02,1,0.7905816906427036,139,1.398,6.421875,0,774
ga,population,population-200,0.5,0.3,0.2,200,0.02,2,0.7927717773150718,126,1.386,6.921875,0,713
ga,population,population-200,0.5,0.3,0.2,200,0.02,3,0.789488132451143,170,1.372,7.234375,0,938
ga,population,population-200,0.5,0.3,0.2,200,0.02,4,0.7899267692859272,196,1.36,6.546875,0,1117
ga,population,population-200,0.5,0.3,0.2,200,0.02,5,0.7893127145920493,158,1.414,7.484375,0,902
ga,population,population-200,0.5,0.3,0.2,200,0.02,6,0.7886302919058815,117,1.396,8.484375,0,673
ga,population,population-200,0.5,0.3,0.2,200,0.02,7,0.7910366753416607,245,1.412,6.609375,0,1292
ga,population,population-200,0.5,0.3,0.2,200,0.02,8,0.7926071585481358,159,1.376,7.296875,0,853
ga,population,population-200,0.5,0.3,0.2,200,0.02,9,0.7907630037441318,148,1.41,6.734375,0,820
ga,population,population-200,0.5,0.3,0.2,200,0.02,10,0.7938845182896505,209,1.388,7.171875,0,1126
ga,population,population-200,0.5,0.3,0.2,200,0.02,11,0.7891305164486561,142,1.388,6.484375,0,796
ga,population,population-200,0.5,0.3,0.2,200,0.02,12,0.7886948212740337,142,1.416,8.359375,0,792
ga,population,population-200,0.5,0.3,0.2,200,0.02,13,0.7913185903086389,199,1.426,5.296875,0,1060
ga,population,population-200,0.5,0.3,0.2,200,0.02,14,0.7877502856479148,180,1.362,6.984375,0,946
ga,population,population-200,0.5,0.3,0.2,200,0.02,15,0.7904704593068168,171,1.434,7.484375,0,909
ga,population,population-200,0.5,0.3,0.2,200,0.02,16,0.7904606558205796,233,1.402,7.796875,0,1223
ga,population,population-200,0.5,0.3,0.2,200,0.02,17,0.7902447915913248,128,1.398,6.484375,0,703
ga,population,population-200,0.5,0.3,0.2,200,0.02,18,0.7913014290665906,192,1.38,8.421875,0,1086
ga,population,population-200,0.5,0.3,0.2,200,0.02,19,0.7866847163958037,128,1.42,8.734375,0,727
ga,population,population-200,0.5,0.3,0.2,200,0.02,20,0.7875127868248242,148,1.408,5.984375,0,818
ga,population,population-200,0.5,0.3,0.2,200,0.02,21,0.7882863204722693,153,1.394,7.796875,0,859
ga,population,population-200,0.5,0.3,0.2,200,0.02,22,0.787106142228496,165,1.414,7.234375,0,898
ga,population,population-200,0.5,0.3,0.2,200,0.02,23,0.7919830405266363,260,1.378,5.984375,0,1403
ga,population,population-200,0.5,0.3,0.2,200,0.02,24,0.7876502757731626,147,1.392,6.984375,0,814
ga,population,population-200,0.5,0.3,0.2,200,0.02,25,0.7922664640700052,163,1.406,6.359375,0,875
ga,population,population-200,0.5,0.3,0.2,200,0.02,26,0.7902223769146849,200,1.392,8.796875,0,1089
ga,population,population-200,0.5,0.3,0.2,200,0.02,27,0.7909551213043978,215,1.424,6.546875,0,1160
ga,population,population-200,0.5,0.3,0.2,200,0.02,28,0.7882494994607541,129,1.418,8.921875,0,710
ga,population,population-200,0.5,0.3,0.2,200,0.02,29,0.792075378235578,228,1.426,7.546875,0,1193
ga,population,population-200,0.5,0.3,0.2,200,0.02,30,0.7871285212749206,148,1.436,8.171875,0,888
ga,mutation,mutation-0.005,0.5,0.3,0.2,100,0.005,1,0.8049164179418451,177,1.302,7.109375,0,393
ga,mutation,mutation-0.005,0.5,0.3,0.2,100,0.005,2,0.8035783686847171,246,1.314,6.296875,0,492
ga,mutation,mutation-0.005,0.5,0.3,0.2,100,0.005,3,0.8045631309983206,169,1.318,6.421875,0,328
ga,mutation,mutation-0.005,0.5,0.3,0.2,100,0.005,4,0.8067618116823039,224,1.302,6.234375,0,409
ga,mutation,mutation-0.005,0.5,0.3,0.2,100,0.005,5,0.80636751070791,247,1.326,6.359375,0,432
